Generation,AverageFitness,MaxFitness
339,11932.977902,12089.435003
340,12492.239797,12866.479161
341,10668.174452,10830.484093
342,12236.446253,12552.268579
343,12620.525585,12973.020250
344,13185.086590,13395.999867
345,11619.531346,12180.777828
346,10953.962675,11285.524509
347,10747.306138,10970.763374
348,11900.077365,12329.690592
349,11993.914423,12211.448467
350,12643.799517,12897.865472
351,12281.947561,12571.713251
352,10575.332535,10797.407467
353,11886.090796,12451.659398
354,9365.914570,9654.949942
355,13304.959283,13741.607902
356,11769.717735,12012.715208
357,13598.729315,14009.882809
358,13749.822087,14015.389244
359,11393.350023,11559.875349
360,11292.701312,11805.373763
361,12762.095523,13281.355727
362,12205.899645,12796.606483
363,12477.651179,12844.395009
364,12147.789906,12426.426103
365,12859.364024,13257.703443
366,13013.168216,13453.159996
367,12176.102878,12576.422571
368,10816.737545,10945.660463
369,11517.037291,11819.849128
370,11376.655753,11656.945216
371,11422.676536,11651.278612
372,11981.568050,12302.058807
373,13179.735528,13435.766989
374,11188.567116,11378.700460
375,12193.377981,12578.351620
376,13087.364113,13288.056352
377,13674.888504,14225.040095
378,12555.960229,12940.207261
379,12771.625677,13246.612190
380,13630.423503,14001.369256
381,14185.236002,14730.417110
382,11841.164753,12204.653129
383,12757.566765,13133.498129
384,11864.185283,12082.571367
385,11922.021262,12378.994204
386,14456.608567,14691.361276
387,13571.510316,13775.225394
388,13740.808026,13912.260257
389,11780.985511,11972.137665
390,13503.470701,13697.884109
391,11763.105229,12038.741534
392,12539.740253,12823.140680
393,12994.714518,13350.252475
394,10135.766763,10538.707787
395,10339.710168,10472.420393
396,11582.783496,11887.101797
397,12773.026086,13095.114155
398,12427.793402,12682.350340
399,10975.920622,11148.607437
400,13910.677136,14266.415120
401,11939.833972,12257.407293
402,14447.450085,14774.836645
403,11153.803445,11498.912527
404,12157.399340,12574.816044
405,13105.231125,13332.866849
406,13883.536322,14139.914879
407,13793.722433,14147.396099
408,12700.167845,13067.827103
409,12949.382728,13310.782625
410,12171.601884,12999.828961
411,13811.304864,14191.145272
412,12630.786559,12929.639761
413,12493.929572,12816.294603
414,13278.791318,13601.253144
415,12985.100472,13230.232871
416,13192.316005,13416.677097
417,12132.826337,12326.919991
418,11949.210624,12170.802299
419,11768.181734,11931.637770
420,14546.554114,14815.326347
421,11824.475576,12108.924861
422,11942.414771,12109.846733
423,13697.281231,13943.177206
424,11075.119111,11215.560411
425,11059.424566,11250.803577
426,13087.379199,13525.441839
427,13091.544598,13271.356701
428,13966.401828,14285.886902
429,12795.586649,13130.430906
430,12789.234227,13154.392996
431,13509.756429,13606.559650
432,12191.714128,12418.441009
433,11917.327900,12066.640186
434,11683.025849,12054.784219
435,12567.563808,12812.737659
436,12594.476358,12907.642507
437,13774.716720,14173.133604
438,12046.432025,12426.982432
439,11827.830550,12023.317330
440,12409.253388,12683.745852
441,12216.047242,12521.715448
442,12403.152704,12692.752859
443,11365.144197,11741.797866
444,12137.963440,12275.086766
445,12951.184837,13473.726687
446,11481.469756,11897.262174
447,12554.244719,12757.089699
448,11762.879725,12003.874573
449,11142.274436,11366.603509
450,14885.642209,15227.140335
451,11344.663262,11445.118589
452,11979.212927,12396.108331
453,12038.658898,12485.973758
454,10409.746316,10630.921263
455,11948.077687,12151.686415
456,12224.015056,12603.569494
457,13135.811126,13364.476926
458,13139.181168,13422.021476
459,12216.371423,12467.674828
460,11956.977972,12311.104998
461,12304.850581,12708.426282
462,11457.187058,11664.775578
463,11963.112359,12298.570882
464,10953.079806,11067.511612
465,14525.644141,14893.604408
466,13205.031941,13530.446514
467,12600.767492,12800.766703
468,12193.634136,12401.509558
469,11951.461629,12101.081560
470,11666.218848,11900.703643
471,11836.911842,12071.544037
472,11743.988626,11867.231014
473,11984.206478,12205.443915
474,12666.320456,12866.123798
475,13863.624998,14182.475220
476,11891.356508,12148.553993
477,10898.529752,11107.406348
478,13199.192463,13450.992711
479,13323.521264,13524.064813
480,11956.089411,12423.266804
481,12344.195604,12577.424477
482,11424.366566,11651.381396
483,13453.352457,13603.167269
484,11146.241636,11277.368382
485,12868.472828,13131.938935
486,12429.513873,12655.376137
487,12561.023157,12754.318072
488,13580.785459,13727.129795
489,11729.369584,11826.899882
490,11615.951064,11817.820379
491,11987.171109,12149.635405
492,11809.896470,11976.905795
493,11940.786884,12125.447445
494,11704.996534,11873.679589
495,13220.489274,13521.763080
496,13169.156328,13322.186311
497,11455.813563,11610.675106
498,12286.175365,12464.877339
499,13251.368103,13557.600630
500,12555.179711,12785.651766
501,12050.773537,12377.955307
502,11424.249215,11557.345537
503,11753.818383,11879.829572
