Generation,TimeSeconds
788,4.291000
789,3.937000
790,4.868000
791,4.327000
792,3.913000
793,2.476000
794,4.499000
795,3.593000
796,6.693000
797,2.146000
798,3.969000
799,2.985000
800,6.897000
801,5.100000
802,3.747000
803,4.671000
804,3.481000
805,2.588000
806,4.662000
807,4.918000
808,6.459000
809,5.230000
810,4.252000
811,4.385000
812,3.594000
813,3.091000
814,5.511000
815,5.327000
816,4.231000
817,4.974000
818,5.821000
819,3.827000
820,4.368000
821,3.918000
822,4.774000
823,4.393000
824,4.932000
825,5.308000
826,2.963000
827,4.356000
828,7.033000
829,4.110000
830,5.532000
831,4.450000
832,5.051000
833,4.991000
834,2.431000
835,4.479000
836,6.940000
837,5.064000
838,5.005000
839,6.451000
840,3.945000
841,7.286000
842,4.908000
843,4.229000
844,3.922000
845,3.484000
846,6.273000
847,4.227000
848,4.728000
849,7.310000
850,3.583000
851,5.064000
852,5.355000
853,5.571000
854,4.051000
855,3.589000
856,6.901000
857,4.552000
858,5.080000
859,4.154000
860,4.062000
861,4.108000
862,4.457000
863,2.724000
864,4.625000
865,3.540000
866,3.155000
867,3.942000
868,5.328000
869,2.261000
870,3.714000
871,2.937000
872,3.076000
873,3.009000
874,2.403000
875,6.246000
876,3.543000
877,3.135000
878,2.680000
879,3.913000
880,3.776000
881,4.656000
882,2.560000
883,3.609000
884,3.696000
885,5.512000
886,4.173000
887,2.751000
888,6.069000
889,1.725000
890,5.026000
891,3.116000
892,6.434000
893,3.946000
894,4.734000
895,3.472000
896,5.677000
897,4.437000
898,2.859000
899,4.044000
900,4.084000
901,5.009000
902,2.828000
903,5.273000
904,3.820000
905,6.655000
906,3.743000
907,4.260000
908,3.043000
909,5.777000
910,5.582000
911,5.096000
912,3.010000
913,3.456000
914,4.168000
915,3.302000
916,3.349000
917,4.997000
918,3.777000
919,1.924000
920,5.087000
921,4.081000
922,3.177000
923,2.308000
924,3.848000
925,4.524000
926,4.872000
927,3.091000
928,5.760000
929,3.650000
930,2.258000
931,4.628000
932,4.261000
933,3.934000
934,5.726000
935,3.858000
936,5.517000
937,2.516000
938,4.380000
939,3.360000
940,3.534000
941,4.272000
942,3.479000
943,4.212000
944,5.675000
945,4.273000
946,2.917000
947,2.634000
948,3.381000
949,4.076000
950,2.938000
951,4.445000
952,4.400000
953,4.620000
954,3.911000
955,3.124000
956,4.154000
957,4.581000
958,4.101000
959,6.059000
960,3.732000
961,4.710000
962,4.392000
963,3.872000
964,3.601000
965,4.301000
966,2.936000
967,4.286000
968,5.113000
969,4.285000
970,3.400000
971,2.800000
972,3.618000
973,3.762000
974,4.033000
975,3.032000
976,3.773000
977,4.887000
978,3.770000
979,3.414000
980,2.550000
981,2.931000
982,4.218000
983,3.334000
984,2.678000
985,5.074000
986,3.295000
987,5.011000
988,3.072000
989,7.117000
990,2.411000
991,4.829000
992,4.985000
993,4.494000
994,6.094000
995,2.378000
996,3.139000
997,5.527000
998,2.864000
999,4.103000
